O3;Vx
63.6;9.35
89.6;5.4
79;19.3
81.2;12.6
88;-20.3
68.4;-3.69
139;8.27
78.2;4.93
113.8;-4.93
41.8;-3.38
65;-23.68
73;-6.24
126.2;14.18
127.8;13.79
61.6;-7.39
63.6;-13.79
134.2;1.88
67.2;-24.82
87.8;9.35
96.8;28.36
89.6;12.47
66.4;-5.52
60;-10.8
90.8;18
104.2;3.55
70;-12.6
96.2;16.91
65.6;-9.35
109.2;16.91
86.2;2.5
87.4;-7.09
84;-10.15
83;-5.52
59.6;-27.06
52;-3.13
73.8;-11.57
129;8.27
122.4;5.52
106.6;12.6
121.8;2.5
116.2;18
81.4;-14.4
88.6;-15.59
63;-22.06
104;-10.8
88.4;-7.2
83.8;17.73
56.4;-14.4
50.4;-17.73
79.2;9.26
